Comment,Designator,Footprint,LCSC
1N5819WS,"D1,D2,D3,D4,D5",D_SOD-323,C191023
100k,"R13,R14,R6,R7,R8,R9",R_0402_1005Metric,C25741
10k,"R2,R3,R4,R5",R_0402_1005Metric,C25744
47k,R12,R_0402_1005Metric,C25792
1M,"R1,R10",R_0402_1005Metric,C26083
10p,C8,C_0402_1005Metric,C32949
68k,R11,R_0402_1005Metric,C36871
X05A20L22T,FPC1,FFC-SMD_22P-P0.50_X05A20L22T,C388675
1u,"C4,C5,C7",C_0402_1005Metric,C52923
XC6206P332MR,U2,SOT-23,C5446
TPS61040DBV,U1,SOT-23-5,C7722
2N7002,"Q1,Q2",SOT-23,C8545
10uH/<250mΩ,L1,IND-SMD_L5.0-W5.0,C963773
10u,"C1,C2,C3,C6",C_0603_1608Metric,C96446
PinHeader,J1,PinHeader_1x07_P2.54mm_Vertical,
