Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0603_1608Metric,77.851,-91.694,-90.0,top
C2,10uF/25V,C_0603_1608Metric,89.281,-91.694,-90.0,top
C3,10uF/25V,C_0603_1608Metric,87.63,-91.694,-90.0,top
C4,1u,C_0402_1005Metric,100.296477,-69.59574,180.0,top
C5,1u,C_0402_1005Metric,98.391477,-69.59574,0.0,top
C6,10u,C_0603_1608Metric,104.013,-76.708,0.0,top
C7,1uF/25V,C_0402_1005Metric,102.997,-83.03,90.0,top
C8,10p,C_0402_1005Metric,105.918,-83.026,90.0,top
D1,1N5819WS,D_SOD-323,84.074,-91.694,-90.0,top
D2,1N5819WS,D_SOD-323,80.264,-71.6575,-90.0,top
D3,1N5819WS,D_SOD-323,77.724,-71.6575,-90.0,top
D4,1N5819WS,D_SOD-323,75.184,-71.6575,-90.0,top
D5,1N5819WS,D_SOD-323,101.219,-83.534,90.0,top
FPC1,X05A20L22T,FFC-SMD_22P-P0.50_X05A20L22T,82.804,-85.852,180.0,top
L1,10uH/<250mΩ,IND-SMD_L5.0-W5.0,98.679,-78.454,90.0,top
Q1,2N7002,SOT-23,86.614,-71.3695,270.0,top
Q2,2N7002,SOT-23,83.06,-71.374,270.0,top
R1,1M,R_0402_1005Metric,86.36,-91.694,-90.0,top
R2,10k,R_0402_1005Metric,86.995,-74.1635,0.0,top
R3,10k,R_0402_1005Metric,83.439,-74.1635,0.0,top
R4,10k,R_0402_1005Metric,83.568,-68.8295,180.0,top
R5,10k,R_0402_1005Metric,86.106,-68.8295,0.0,top
R6,100k,R_0402_1005Metric,78.232,-69.2445,180.0,top
R7,100k,R_0402_1005Metric,80.774,-74.1975,0.0,top
R8,100k,R_0402_1005Metric,78.234,-74.1975,0.0,top
R9,100k,R_0402_1005Metric,75.694,-74.1975,0.0,top
R10,1M,R_0402_1005Metric,104.521,-83.026,90.0,top
R11,68k,R_0402_1005Metric,105.918,-81.024,90.0,top
R12,47k,R_0402_1005Metric,105.918,-78.964,90.0,top
R13,100k,R_0402_1005Metric,80.645,-91.694,90.0,top
R14,100k,R_0402_1005Metric,79.502,-91.694,90.0,top
U1,TPS61040DBV,SOT-23-5,102.997,-79.756,0.0,top
U2,XC6206P332MR,SOT-23,99.308477,-72.13574,90.0,top
